0,1,2,3,4,5,6,7,8,9,10,11
농촌진흥청,1. 기관소개,2. 정보목록,3. 농촌진흥청 기록관 보유목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
산림청,1. 기관소개,2. 정보목록,3. 산림청 기록관 보유 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
특허청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
기상청,1. 기관소개,2. 정보목록,3. 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
행정중심복합도시건설청,1. 기관소개,2. 정보목록(파일),3. 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
새만금개발청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타 ,,,,,
해양경찰청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타 ,,,,,
감사원,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국가인권위원회,1. 기관소개,2. 정보목록,3. 국가인권위원회 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
방송통신위원회,1. 기관소개,2. 정보목록,3. 방송통신위원회 기록관 보유 기록물 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국무조정실,1. 기관소개,2. 정보목록,3. 보유기록물 현황 ,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국민권익위원회,1. 기관소개,2. 정보목록,3. 국민권익위원회 기록관 기록물 보유 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
공정거래위원회,1. 기관소개,2. 정보목록,3. 공정거래위원회 기록관 보유 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
금융위원회,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 2명,6. 기타,,,,,
