기관유형,기관명,설명
중앙행정기관,산업통상자원부,"1. 기관소개<br>산업통상자원부는 대한민국의 산업, 통상 및 자원과 관련한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>http://www.motie.go.kr/motie/ne/Notice/bbs/bbsView.do?bbs_cd_n=83&bbs_seq_n=4474901<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 4명<br>6. 기타<br> 1) 산업통상자원부 기록관 운영 규정<br>http://www.law.go.kr/행정규칙/산업통상자원부기록관운영규정/(37,20140528)<br> 2) 산업통상자원부 기록관리기준표<br>http://www.law.go.kr/행정규칙/(산업통상자원부)2019년도기록관리기준표/(2020-62,20200507)"
중앙행정기관,보건복지부,"1. 기관소개<br>보건복지부는 국민 보건에 관한 사무와 사회 복지 증진에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>http://www.mohw.go.kr/react/gm/sgm0403ls.jsp?PAR_MENU_ID=13&MENU_ID=13040303<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 3명<br>6. 기타<br> 1) 보건복지부 기록물 관리 등에 대한 규정<br>http://www.law.go.kr/행정규칙/보건복지부기록물관리등에관한규정/(8,20100707)<br> 2) 복지복지부 기록관리기준표<br>http://www.mohw.go.kr/react/gm/sgm0704vw.jsp?PAR_MENU_ID=13&MENU_ID=13040801&page=1&CONT_SEQ=356635&PAR_CONT_SEQ=355591"
중앙행정기관,환경부,"1. 기관소개<br>환경부는 자연환경 및 생활환경의 보전과 환경오염 방지에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>http://me.go.kr/home/web/index.do?menuId=10368<br>3. 환경부 기록관 보유 기록물 목록<br>http://www.me.go.kr/home/web/board/read.do?pagerOffset=0&maxPageItems=10&maxIndexPages=10&searchKey=&searchValue=&menuId=10130&orgCd=&boardId=929060&boardMasterId=9&boardCategoryId=&decorator=<br>4. 기록관 홈페이지 링크 :  없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 19명 <br>6. 기타<br> 1) 환경부 기록물 관리 및 기록관 운영에 관한 규정<br>http://www.law.go.kr/행정규칙/환경부기록물관리및기록관운영에관한규정/(1151,20150507)"
중앙행정기관,고용노동부 기록관,"1. 기관소개<br>고용노동부는 고용과 노동에 관한 사무를 관장하는 대한민국의 중앙행정기관이다<br>2. 정보목록<br>http://www.moel.go.kr/info/publict/publictList.do<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : http://library.moel.go.kr/subhomepage1/usmn000.jsp<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 73명<br>6. 기타<br> 1) 고용노동부 기록관 운영규정<br>http://www.law.go.kr/행정규칙/고용노동부기록관운영규정/(8,20100713)<br> 2) 고용노동부 기록관리기준표<br>http://www.law.go.kr/행정규칙/고용노동부기록관리기준표/(2013-21,20130326)"
중앙행정기관,여성가족부,"1. 기관소개<br>여성가족부는 여성정책의 기획·종합, 여성의 권익 증진, 가족 정책, 건강가정 사업을 위한 아동 업무 및 청소년의 육성·복지 및 보호 등에 관한 사무를 관장하는 대한민국의 중앙행정기관이다. <br>2. 정보목록<br>http://www.mogef.go.kr/io/ind/io_ind_f012.do<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 4명<br>6. 기타<br> 1) 여성가족부 기록관 운영규정<br>http://www.law.go.kr/행정규칙/여성가족부기록관운영규정/(66,20131024)<br> 2) 여성가족부 기록관리기준표<br>http://www.law.go.kr/행정규칙/여성가족부기록관리기준표/(2019-16,20190425)"
중앙행정기관,국토교통부,"1. 기관소개<br>국토교통부는 국토의 체계적인 개발과 보존, 교통물류체계 구축 등의 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.molit.go.kr/USR/BORD0201/m_18735/BRD.jsp<br>3. 국토교통부 기록관 보유 목록<br>https://www.molit.go.kr/USR/BORD0201/m_34879/DTL.jsp?id=www_info&cate=&mode=view&idx=30450&key=&search=기록관&search_regdate_s=2011-10-01&search_regdate_e=2020-10-08&order=&desc=asc&srch_prc_stts=&item_num=0&search_dept_id=&search_dept_nm=&srch_usr_nm=N&srch_usr_titl=Y&srch_usr_ctnt=N&srch_mng_nm=N&old_dept_nm=&search_gbn=&search_section=&source=&search1=기록관&lcmspage=1<br>4. 기록관 홈페이지 링크 :  없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 5명<br>6. 기타<br> 1) 국토교통부 기록관운영규정<br>http://www.law.go.kr/행정규칙/국토교통부기록관운영규정/(139,20130419)<br> 2) 국토교통부 기록관리 기준표<br>http://www.law.go.kr/행정규칙/(국토교통부)2020년제1차기록관리기준표고시/(2020-390,20200518)"
중앙행정기관,해양수산부,"1. 기관소개<br>해양수산부는 대한민국 해양의 개발·이용·보존 정책 등을 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>http://www.mof.go.kr/content/view.do?menuKey=342&contentKey=253<br>3. 해양수산부 기록관 보유기록물 현황<br>http://www.mof.go.kr/article/view.do?articleKey=20705&searchSelect=title&searchValue=기록관&boardKey=2&currentPageNo=1<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 21명<br>6. 기타<br> 1) 해양수산부 기록관운영규정<br>http://www.law.go.kr/행정규칙/해양수산부기록관운영규정/(143,20140210)"
중앙행정기관,중소벤처기업부,"1. 기관소개<br>중소벤처기업부는 중소기업에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.mss.go.kr/site/smba/ex/bbs/List.do?cbIdx=12<br>3. 중소벤처기업부 기록관 소장 기록물 목록<br>http://blog.daum.net/smbarecordcenter/category/기록물%20보유목록?page=1<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 10명<br>6. 기타<br> 1) 중소벤처기업부 기록관운영규정<br>http://www.law.go.kr/행정규칙/중소벤처기업부기록관운영규정/(11,20170816)"
중앙행정기관,인사혁신처,"1. 기관소개<br>인사혁신처는 공무원의 인사·윤리·복무 및 연금 등에 관한 사무를 관장하기 위하여 2014년 11월 19일에 신설된 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.open.go.kr/othicInfo/infoList/infoList.do 에서 인사혁신처 검색.<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 5명<br>6. 기타<br> 1) 인사혁신처 기록관 운영 규정<br>http://www.law.go.kr/행정규칙/인사혁신처기록관운영규정/(99,20200422)<br> 2) 인사혁신처 기록관리기준표<br>http://www.law.go.kr/행정규칙/인사혁신처기록관리기준표고시/(2020-4,20200422)"
중앙행정기관,법제처,"1. 기관소개<br>법제처는 국가의 법체계적 기반 확립을 위해 설립한 국무총리 산하의 중앙행정기관이다.<br>2. 정보목록<br>https://www.moleg.go.kr/info/infoOpenList.es?mid=a10201040200<br>3. 법제처 기록관 기록물 보유 목록<br>https://www.moleg.go.kr/board.es?mid=a10201050100&bid=0004&act=view&list_no=189466&tag=&nPage=1&keyField=&keyWord=기록관&cg_code=<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 법제처 기록관 운영 규정<br>http://www.law.go.kr/행정규칙/법제처기록관운영규정/(393,20180910)<br> 2) 법제처 기록관리기준표<br>http://www.law.go.kr/행정규칙/법제처기록관리기준표/(2019-31,20190221)"
