기관유형,기관명,설명
중앙부처소속기관,경기남부지방경찰청,"1. 기관소개<br>경기남부지방경찰청은 경기도 남부지역 일원의 경찰사무를 관할하는 기관이다. 주민의 일상생활 보호, 범죄척결, 교통안전과 소통 확보, 사회안정과 평온 유지 등의 활동을 한다. 주민의 일상생활 보호를 위해서는 파출소 활동, 112제도 운영, 범죄유발환경 단속, 올바른 기초질서·행락질서 정착 유도, 생활주변 보호, 봉사활동, 청소년의 건전한 지도·육성 등의 활동을 수행한다.<br>2. 정보목록<br>https://www.ggpolice.go.kr/main/bbslist.do?bbsId=FA1<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 경기도남부지방경찰청 특수기록관 운영규칙(파일)<br>https://www.ggpolice.go.kr/main/download.do?seq=1&atcFileCd=20160527050548554"
중앙부처소속기관,경기북부지방경찰청,"1. 기관소개<br>경기북부지방경찰청은 경기도 북부지역 일원의 경찰사무를 관할하는 기관이다. 주민의 일상생활 보호, 범죄척결, 교통안전과 소통 확보, 사회안정과 평온 유지 등의 활동을 한다. 주민의 일상생활 보호를 위해서는 파출소 활동, 112제도 운영, 범죄유발환경 단속, 올바른 기초질서·행락질서 정착 유도, 생활주변 보호, 봉사활동, 청소년의 건전한 지도·육성 등의 활동을 수행한다. <br>2. 정보목록 : 없음 <br>3. 보유기록물 현황 : 없음 <br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명 <br>6. 기타"
중앙부처소속기관,강원지방경찰청,"1. 기관소개<br>강원지방경찰청은 강원도의 치안 업무를 총괄하는 경찰행정기관이다. 소속 관서로는 춘천경찰서, 강릉경찰서, 원주경찰서, 동해경찰서, 태백경찰서, 삼척경찰서, 속초경찰서, 홍천경찰서, 영월경찰서, 정선경찰서, 평창경찰서, 횡성경찰서, 고성경찰서, 인제경찰서, 철원경찰서, 화천경찰서, 양구경찰서 등 17개 경찰서가 있다.<br>2. 정보목록 <br>https://www.gwpolice.go.kr/gw/sub01/sub01_02_03.jsp<br>3. 보유기록물 현황 : 없음 <br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 0명<br>6. 기타<br> 1) 강원도지방경찰청 특수기록관 운영규칙<br>https://www.gwpolice.go.kr/gw/sub05/sub05_03.jsp?groupNo=11429&boardNo=10&amode=itemView&category=&cpage=2&searchType=&searchString="
중앙부처소속기관,충남지방경찰청,"1. 기관소개<br>충남지방경찰청은 충청남도의 치안 업무를 총괄하는 경찰행정기관이다. 소속 관서로는 천안서북경찰서, 천안동남경찰서, 서산경찰서, 논산경찰서, 아산경찰서, 공주경찰서, 보령경찰서, 당진경찰서, 홍성경찰서, 예산경찰서, 부여경찰서, 서천경찰서, 연기경찰서, 금산경찰서, 청양경찰서 등 15개 경찰서와 고속도로순찰대, 기동대 등을 운영하고 있다. 충남지방경찰청은 5대 정책 목표로 국민생활 안전, 준법질서 확립, 국가안보 강화, 감동치안 실천, 조직문화 쇄신을 설정했다.<br>2. 정보목록<br>https://www.cnpolice.go.kr/2014/main.php?mxPn=4_10<br>3. 보유기록물 현황 : 없음 <br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 2015 충남지방경찰청 비공개기록물 공개재분류 결과 공표<br>https://www.cnpolice.go.kr/2014/main.php?mxPn=3_1&kz=%C1%F6%B9%E6%C3%BB&kf1=sub&kf2=&kw=%B1%E2%B7%CF&bo=notify1&p=1&ku=21837&mo=v"
중앙부처소속기관,충북지방경찰청,"1. 기관소개<br>충북지방경찰청은 충청북도의 치안 업무를 총괄하는 경찰행정기관이다. 소속 관서로는 청주상당경찰서, 청주흥덕경찰서, 청원경찰서, 충주경찰서, 제천경찰서, 영동경찰서, 괴산경찰서, 단양경찰서, 보은경찰서, 옥천경찰서, 음성경찰서, 진천경찰서 등 12개 경찰서와 27개 지구대, 51개 파출소가 있다.<br>2. 정보목록<br>https://www.cbpolice.go.kr/main_sub/sub.php?folder_idx=55&folder_page_idx=483<br>3. 보유기록물 현황<br>https://www.cbpolice.go.kr/main_sub/sub.php?id=83&folder_idx=55&folder_page_idx=483<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명 <br>6. 기타"
중앙부처소속기관,경남지방경찰청,"1. 기관소개<br>경남지방경찰청은 경남지역 치안업무를 총괄하는 경찰행정기관이다. 소속 관서로는 창원중앙경찰서, 창원서부경찰서, 마산중부경찰서, 마산동부경찰서, 진해경찰서, 진주경찰서, 김해중부경찰서, 김해서부경찰서, 양산경찰서, 통영경찰서, 사천경찰서, 거제경찰서, 밀양경찰서, 거창경찰서, 합천경찰서, 창녕경찰서, 고성경찰서, 하동경찰서, 남해경찰서, 함양경찰서, 산청경찰서, 함안경찰서, 의령경찰서 등 23개 경찰서와 144개 파출소가 있다. <br>2. 정보목록 : 없음<br>3. 보유기록물 현황 : 없음 <br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명 <br>6. 기타<br> 1) 공공기록물 관리에 관한 법률(파일)<br>https://www.gnpolice.go.kr/data.do?file=if1100_04.hwp"
중앙부처소속기관,경북지방경찰청,"1. 기관소개<br>경북지방경찰청은 경상북도 지역의 치안 업무를 총괄하는 경찰행정기관이다. 주요활동은 주민의 일상생활 보호, 범죄척결, 교통안전과 소통 확보, 사회안정과 평온 유지 등이다. 주민의 일상생활 보호를 위해 파출소 활동, 112제도 운영, 범죄유발환경 단속, 올바른 기초질서·행락질서 정착 유도, 생활주변 보호, 봉사활동, 청소년의 건전한 지도·육성 등의 활동을 수행한다.<br>2. 정보목록<br>http://www.gbpolice.go.kr/PageLink.do?link=/gbpolice/60/6040<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명 <br>6. 기타<br> 1) 경상북도지방경찰청 특수기록관 운영규칙<br>http://www.gbpolice.go.kr/bbs/view.do?bbsId=15&sid=gbpolice&pageNum=1&word=기록&condition=conSubject&wr_id=189"
중앙부처소속기관,전남지방경찰청,"1. 기관소개<br>전남지방경찰청은 전라남도 지역의 치안 업무를 총괄하는 경찰행정기관이다. 주요활동은 주민의 일상생활 보호, 범죄척결, 교통안전과 소통 확보, 사회안정과 평온 유지 등이다. 주민의 일상생활 보호를 위해 파출소 활동, 112제도 운영, 범죄유발환경 단속, 올바른 기초질서·행락질서 정착 유도, 생활주변 보호, 봉사활동, 청소년의 건전한 지도·육성 등의 활동을 수행한다.<br>2. 정보목록<br>https://www.jnpolice.go.kr/?pid=AP0108<br>3. 보유기록물 현황 : 없음 <br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 전라남도지방경찰청 특수기록관 운영규칙<br>https://www.jnpolice.go.kr/index.jsp?pid=AP0701&mode=view&bbsId=sub1111&cur_page=1&searchOpt=B.BBS_SUBJ&searchWord=기록&searchBbsCate=&bbsBid=286810<br> 2) 2019 비공개기록물 공개재분류 최종 결과<br>https://www.jnpolice.go.kr/index.jsp?pid=AP0104&mode=view&bbsId=sub0104&cur_page=1&searchOpt=B.BBS_SUBJ&searchWord=기록&searchBbsCate=&bbsBid=368348"
중앙부처소속기관,전북지방경찰청,"1. 기관소개<br>전북지방경찰청은 전라북도의 치안 업무를 총괄하는 경찰행정기관이다. 소속 경찰서는 전주덕진경찰서, 전주완산경찰서, 군산경찰서, 익산경찰서, 완주경찰서, 진안경찰서, 무주경찰서, 장수경찰서, 남원경찰서, 정읍경찰서, 고창경찰서, 부안경찰서, 순창경찰서, 임실경찰서, 김제경찰서 등 15개다. 이밖에 21개 지구대, 140개 파출소, 91개 치안센터를 두고 있으며, 6개 중대(경찰관기동대 기동1중대 기동2중대 308전경대 전주덕진방범순찰대 전주완산방범순찰대)를 운영한다. 전라북도지방경찰청은 ‘현장중심 도민만족 치안’이라는 슬로건 아래 불법과 무질서에 강한 경찰, 도민만족을 향한 고품격 치안서비스, 소통과 화합의 직장분위기 등을 중점 시책으로 추진하고 있다.<br>2. 정보목록<br>https://www.jbpolice.go.kr/board/list.police?boardId=BBS_0000021&menuCd=DOM_000000204001002000&contentsSid=81<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 정보공개 처리현황<br>https://www.jbpolice.go.kr/board/list.police?boardId=BBS_0000016&menuCd=DOM_000000204005001000&categoryCode1=E&categoryCode2=EJ"
중앙부처소속기관,서울지방병무청,"1. 기관소개<br>서울지방병무청은  서울특별시 병역자원의 획득 관리 및 병역의무자의 징집·소집, 전시병력 동원 등의 업무를 관장하는 병무청 소속기관이다.<br>2. 정보목록 : 없음<br>3. 서울지방병무청 기록관 보유기록물 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=53&gsgeul_no=1502955&menu_id=mma0000197&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명 <br>*기록관리 업무 담당자 : 2명 <br>6. 기타<br> 1) 자체 기록관리 기본계획<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=53&gsgeul_no=1503270&menu_id=mma0000197&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 2019 기록물 공개여부 재분류 결과 목록<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=53&gsgeul_no=1503212&menu_id=mma0000197&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 2020년(2019년 생산분) 기록물 생산현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=53&gsgeul_no=1504426&menu_id=mma0000197&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
중앙부처소속기관,부산지방경찰청,"1. 기관소개<br>부산지방경찰청은 부산광역시 일원의 경찰사무를 관할하는 기관이다. 주요활동은 범죄예방과 범인검거 활동, 대민봉사활동, 교통 지도·단속, 재난구조활동, 사회안전활동 등이다. 세부적으로는 지리 안내, 미아 보호, 가출인 신고 접수, 유실물 관리, 대민상담, 응급환자 후송, 교통관리, 피서객 보호, 경찰특공대·경찰항공대 운영, 다중범죄 진압, 공·해양 보안활동, 대간첩작전, 외사사범 조사, 국제경찰 공조와 협력, 외국인 근로자 피해신고센터 운영 등의 활동을 수행한다.<br>2. 정보목록<br>http://www.bspolice.go.kr/view.do?no=1556<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타"
중앙부처소속기관,세종특별자치시지방경찰청,1. 기관소개<br>세종특별자치시지방경찰청은 2019년 6월 25일 개청한 세종특별자치시를 담당하는 지방경찰청으로 그 소속 경찰서는 세종경찰서가 유일하다. <br>2. 정보목록<br>https://www.sjpolice.go.kr/site/main.php?mxPn=01_02<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 0명<br>6. 기타<br> 1) 세종특별자치시지방경찰청 특수기록관 운영규칙<br>https://www.sjpolice.go.kr/site/main.php?mxPn=05_03&kb=훈령&kf1=sub&kw=기록&bo=data5&p=1&ku=405&mo=v
중앙부처소속기관,부산지방병무청,"1. 기관소개<br>부산지방병무청은 부산·울산광역시 일원의 병역자원 획득 관리 및 병역의무자의 징집·소집, 전시 병력동원 등의 업무를 총괄하는 병무청 소속기관이다.주요 기능은 병역자원 관리, 징병검사 및 각종 병역처분, 현역병 입영 및 사회복무요원 소집, 향토예비군 편성 관리, 전시 병력동원 및 훈련소집, 산업기능인력 지원, 병역의무자 국외여행 허가 등이다.<br>2. 정보목록 : 없음<br>3. 부산지방병무청 기록관 운영 및 보유기록물 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=54&gsgeul_no=1502733&menu_id=mma0000198&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 2명<br>6. 기타<br> 1) 기록물 자체 기본 계획(2020년도 기록물관리 종합계획)<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=54&gsgeul_no=1503193&menu_id=mma0000198&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 2019년도 비(부분)공개 기록물 공개재분류 결과 공표<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=54&gsgeul_no=1502124&menu_id=mma0000198&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 기록물 생산현황(2019년 기준)<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=54&gsgeul_no=1504394&menu_id=mma0000198&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
중앙부처소속기관,대구경북지방병무청,"1. 기관소개<br>대구경북지방병무청은 대구광역시와 경상북도 지역 병역자원의 획득 관리 및 병역의무자 징집·소집, 전시 병력동원 등 병무행정을 총괄하는 병무청 소속기관이다. 주요 기능은 병역자원 관리, 징병검사 및 각종 병역처분, 현역병 입영 및 사회복무요원 소집, 향토예비군 편성 관리, 전시 병력동원 및 훈련소집, 산업기능인력 지원, 병역의무자 국외여행 허가 등이다.<br>2. 정보목록 : 없음<br>3. 대구경북지방병무청 기록관 보유기록물 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=55&gsgeul_no=1502915&menu_id=mma0000199&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 3명 <br>6. 기타<br> 1) 기록물관리 자체계획<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=55&gsgeul_no=1503198&menu_id=mma0000199&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 2019년도 기록물 공개여부 재분류<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=55&gsgeul_no=1502242&menu_id=mma0000199&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 2020년도(2019년 생산분) 기록물 생산현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=55&gsgeul_no=1504393&menu_id=mma0000199&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
중앙부처소속기관,경인지방병무청,"1. 기관소개<br>경인지방병무청은 인천광역시 및 경기도 한강 이남 지역의 병무행정을 관장하는 병무청 소속기관이다. 주요업무는 병역자원 관리, 징병검사 및 각종 병역처분, 현역병 입영 및 사회복무요원 소집 및 복무, 전시병력 동원 및 훈련소집, 전문연구요원 및 산업기능요원 편입 및 복무, 병역의무자의 국외여행 허가 등이다.<br>2. 정보목록 : 없음 <br>3. 경인지방병무청 기록관 보유기록물 현황 <br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=56&gsgeul_no=1503010&menu_id=mma0000200&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 2명 <br>6. 기타<br> 1) 자체 기록물관리 계획<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=56&gsgeul_no=1503424&menu_id=mma0000200&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 비(부분)공개 기록물 공개여부 재분류 결과(2019년)<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=56&gsgeul_no=1502240&menu_id=mma0000200&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 2019년(전년도분) 보존기간별 기록물 생산현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=56&gsgeul_no=1504412&menu_id=mma0000200&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
중앙부처소속기관,강원지방병무청,"1. 기관소개<br>강원지방병무청은 강원도 영서지역 병역자원의 획득 관리 및 병역의무자의 징집·소집, 전시 병력동원 등 병무행정을 총괄하는 병무청 소속기관이다. 국토방위의 근간이 되는 병역자원을 획득 관리하고, 병역의무자에 대한 징집·소집 및 전시 병력동원, 향토예비군 편성 관리 및 산업기능인력 지원, 병역의무자 국외여행 허가 등을 주요 임무로 한다.<br>2. 정보목록 : 없음 <br>3. 강원지방병무청 기록관 보유기록물 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=59&gsgeul_no=1502949&menu_id=mma0000203&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 기록물관리 기본계획<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=59&gsgeul_no=1503228&menu_id=mma0000203&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 2019년 기록물 공개여부 재분류<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=59&gsgeul_no=1503227&menu_id=mma0000203&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 2019년도 기록물 생산현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=59&gsgeul_no=1504425&menu_id=mma0000203&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
중앙부처소속기관,경남지방병무청,"1. 기관소개<br>경남지방병무청은 경남지역 병역자원의 획득 관리 및 병역의무자의 징집·소집 및 전시 병력동원 등의 업무를 관장하는 병무청 소속기관이다. 주요 기능은 병역자원 관리, 병역판정검사 및 각종 병역처분, 현역병 입영 및 사회복무요원 소집 및 관리, 예비군 편성 관리, 전시병역동원 및 훈련소집, 산업지원인력 관리, 병역의무자의 국외여행 허가 등이다.<br>2. 정보목록 : 없음 <br>3. 보유기록물 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=62&gsgeul_no=1502905&menu_id=mma0000206&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 2명 <br>6. 기타<br> 1) 기록물관리 기본계획<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=62&gsgeul_no=1503262&menu_id=mma0000206&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 기록물 공개여부 재분류 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=62&gsgeul_no=1503259&menu_id=mma0000206&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 2020년도 기록물 생산현황('19년 생산분)<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=62&gsgeul_no=1504395&menu_id=mma0000206&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
중앙부처소속기관,대전충남지방병무청,"1. 기관소개<br>대전충남지방병무청은 대전광역시와 충청남도 지역 병역자원의 획득 관리 및 병역의무자 징집·소집, 전시 병력동원 등 병무행정을 총괄하는 병무청 소속기관이다. 주요 목적은 국토방위의 근간이 되는 병역자원을 획득 관리하고, 병역의무자에 대한 징집·소집 및 전시 병력동원, 향토예비군 편성 관리 및 산업기능인력 지원, 병역의무자 국외여행 허가 등 효율적인 병무행정을 수행하는 데 있다.<br>2. 정보목록 : 없음 <br>3. 대전충남지방병무청 기록관 보유현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=58&gsgeul_no=1503449&menu_id=mma0000202&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명 <br>*기록관리 업무 담당자 : 2명 <br>6. 기타<br> 1) 기록관리 연간 기본계획<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=58&gsgeul_no=1503446&menu_id=mma0000202&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 2020년도 비(부분)공개 기록물 공개재분류 결<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=58&gsgeul_no=1503814&menu_id=mma0000202&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 2019년도 기록물 생산 및 보유현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=58&gsgeul_no=1501899&menu_id=mma0000202&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
중앙부처소속기관,충북지방병무청,"1. 기관소개<br>충북지방병무청은 충북 지역 병역자원의 획득 관리, 병역의무자의 징집·소집 및 전시병력 동원 등의 업무를 관장하는 병무청 소속기관이다. 주요 임무는 국토방위의 근간이 되는 병역자원을 획득 관리하고, 병역의무자에 대한 징집·소집 및 전시병력동원에 대한 의무부과, 향토예비군의 편성 관리 및 산업기능인력 지원, 병역의무자 국외여행 허가 등이다.<br>2. 정보목록 : 없음 <br>3. 충북지방병무청 기록관 보유기록물 현황<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=60&gsgeul_no=1502867&menu_id=mma0000204&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록관%20보유기록물%20현황<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 2명 <br>6. 기타<br> 1) 기록물 자체 기본계획<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=60&gsgeul_no=1503244&menu_id=mma0000204&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20자체%20기본%20계획<br> 2) 기록물 공개여부 재분류(2019년)<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=60&gsgeul_no=1503243&menu_id=mma0000204&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물%20공개여부%20재분류<br> 3) 기록물 생산현황(2019년)<br>https://open.mma.go.kr/caisGGGS/board/boardView.do?gesipan_id=60&gsgeul_no=1504415&menu_id=mma0000204&pageIndex=1&searchCondition=gsgjemok_nm&searchKeyword=&searchDate=ccdatabalsaeng_dtm&sdate=&edate=&pageUnit=10&searchCondition2=1&searchKeyword2=기록물생산현황"
